113931.6786,1.6872,1.6843,1.6586,1.5473,1.6472,1.6529,1.6415,1.6501,1.6301,1.6586,1.6444,0.0600,0.0228,0.0257,0.0257,0.0428,0.1056,0.2341,0.3540,0.4653,0.5567,0.6252,0.7337,0.8108,0.8764,0.9449,1.0135,1.0591,1.1419
163781.6758,1.6758,1.6843,1.6786,1.6444,1.6444,1.6444,1.6472,1.6387,1.6558,1.6444,1.6415,0.0343,0.0171,0.0086,0.0400,0.0400,0.0371,0.1913,0.3226,0.4368,0.5453,0.6338,0.7080,0.7708,0.8479,0.9221,1.0077,1.0477,1.1191
382771.7272,1.7129,1.7272,1.6900,1.6929,1.7015,1.6843,1.6900,1.7100,1.6758,1.6958,1.6843,2.9205,2.6664,2.9205,2.9205,2.9205,2.9205,2.8548,2.6407,2.4523,2.2696,2.1297,2.0526,1.9670,1.8842,1.8499,1.8271,1.7928,1.7814
600871.6672,1.6615,1.6643,1.6358,1.6301,1.6187,1.6187,1.6244,1.6244,1.6301,1.6415,1.6158,0.0371,0.0029,0.0285,0.0314,0.0400,0.1627,0.3026,0.3997,0.4853,0.5967,0.6994,0.7651,0.8450,0.9135,0.9963,1.0391,1.0962,1.1705
14271.6615,1.6843,1.6900,1.5444,1.6472,1.6415,1.6444,1.6643,1.6329,1.6529,1.6387,1.6358,0.0828,0.0285,0.0371,0.0428,0.0428,0.2170,0.3540,0.4368,0.5396,0.6309,0.7337,0.8165,0.8850,0.9535,1.0163,1.0791,1.1248,1.1876
14321.6786,1.6900,1.6701,1.6758,1.6615,1.7528,1.6558,1.6472,1.6586,1.6501,1.6415,1.6415,0.0371,0.0400,0.0143,0.0400,0.1684,0.2684,0.3911,0.4996,0.5909,0.6652,0.7308,0.8108,0.8764,0.9649,1.0077,1.0620,1.1077,1.1505
14321.6729,1.6786,1.6900,1.7272,1.5844,1.6958,1.6672,1.6586,1.6558,1.6786,1.6643,1.6729,0.1056,0.0457,0.0343,0.1170,0.2541,0.3768,0.4625,0.5624,0.6880,0.7223,0.8051,0.8621,0.9649,0.9878,1.0734,1.1448,1.2076,1.2219
32571.7414,1.7300,1.7557,1.6701,1.7243,1.7214,1.7471,1.7157,1.7072,1.7243,1.7386,1.7357,1.2504,2.9205,2.9205,2.9205,2.9205,2.8662,2.6435,2.4665,2.3010,2.1811,2.1068,2.0098,1.9413,1.9099,1.8613,1.8099,1.7985,1.7900
263851.6615,1.6472,1.6444,1.6701,1.6586,1.6444,1.6444,1.6701,1.6615,1.6501,1.6415,1.6786,1.6529,1.6558,1.6415,1.6558,1.6558,1.6444,1.6444,1.6672,1.6501,1.6444,1.6558,1.6586,1.6472,1.6444,1.6672,1.6529,1.6472,1.6301
581921.6501,1.6187,1.6244,1.6215,1.6158,1.6358,1.6187,1.6215,1.6329,1.6187,1.6272,1.6158,1.6215,1.6387,1.6158,1.6244,1.6244,1.6187,1.6329,1.6130,1.6272,1.6387,1.6158,1.6272,1.6244,1.6215,1.6215,1.6187,1.6215,1.6301
